A,B,C,D,E,F,G,H,I,Accuracy,Recall_A,Recall_B,Recall_C,Recall,Precision_A,Precision_B,Precision_C,Precision
14497,283,123,101,12421,167,82,257,8139,0.971915719,0.972757163,0.978879344,0.960014154,0.970550221,0.98753406,0.958336548,0.96559497,0.970488526
14594,231,152,94,12389,167,75,252,8116,0.973080122,0.974427455,0.979367589,0.961269691,0.971688245,0.988552462,0.962476694,0.962181387,0.971070181
14425,239,139,80,12430,158,92,241,8266,0.973690047,0.974464636,0.981212504,0.961274567,0.972317235,0.988216757,0.96281952,0.965315894,0.97211739
14609,234,127,93,12423,161,106,235,8082,0.97349598,0.975885104,0.979963714,0.959515612,0.971788143,0.986561318,0.96362085,0.965591398,0.971924522
14601,270,118,84,12451,162,77,239,8068,0.973662323,0.974114351,0.980625345,0.96230916,0.972349618,0.989093619,0.960725309,0.966459032,0.972092653
14493,268,132,96,12547,179,95,215,8045,0.972691988,0.973141744,0.978552488,0.962896469,0.971530234,0.986992645,0.962931696,0.962781235,0.970901859
14482,251,125,103,12392,156,93,288,8180,0.971832548,0.974693768,0.97952731,0.955495853,0.969905644,0.986646682,0.958317222,0.966788796,0.970584233
14567,264,129,82,12470,152,96,226,8084,0.973690047,0.973729947,0.981580605,0.961694028,0.97233486,0.987928111,0.962191358,0.966407651,0.972175707
14557,249,127,96,12491,170,87,239,8054,0.973163294,0.974820867,0.979148703,0.961097852,0.97168914,0.987584803,0.962400801,0.964435397,0.971473667
14618,247,129,89,12274,164,89,264,8196,0.972775159,0.974923303,0.979803624,0.958708621,0.971145183,0.987969722,0.960031287,0.965484745,0.971161918
14588,238,128,95,12356,136,76,247,8206,0.974494039,0.975524943,0.981647732,0.962129206,0.973100627,0.988413849,0.962230356,0.968831169,0.973158458
14587,303,130,85,12498,155,86,252,7974,0.971971167,0.971171771,0.981158738,0.9593359,0.97055547,0.988413064,0.957481039,0.96549219,0.970462098
14549,252,146,74,12506,162,77,251,8053,0.973329637,0.973372583,0.981478575,0.960863859,0.971905006,0.989727891,0.961334461,0.963162301,0.971408218
14562,269,145,92,12410,179,85,255,8073,0.971583033,0.972355769,0.978629446,0.959586354,0.970190523,0.987991044,0.959486624,0.961414791,0.96963082
14673,231,119,101,12389,172,86,227,8072,0.974050457,0.97670239,0.978439425,0.962671437,0.972604417,0.987415882,0.964349654,0.965203874,0.972323136
14550,256,134,89,12441,156,85,235,8124,0.973523704,0.973895582,0.980687372,0.962103269,0.972228741,0.988182559,0.962032168,0.965533634,0.971916121
14573,263,145,85,12276,171,93,246,8218,0.972192958,0.972765503,0.979572295,0.960383312,0.970907037,0.987933021,0.96018772,0.962971643,0.970364128
14407,255,143,94,12551,170,78,235,8137,0.972969227,0.97311719,0.979399142,0.96295858,0.971824971,0.988202209,0.962426194,0.96295858,0.971195661
14716,257,132,102,12224,166,71,222,8180,0.973662323,0.974246938,0.97854627,0.965419568,0.972737592,0.988380684,0.962292372,0.964850201,0.971841085
14560,278,135,96,12410,157,88,261,8085,0.971860272,0.972417017,0.980020532,0.958619872,0.970352474,0.987520347,0.958375164,0.965142653,0.970346055
14630,268,128,87,12425,144,79,237,8072,0.97385639,0.973645681,0.981747788,0.962327134,0.972573534,0.988780752,0.960943542,0.967401726,0.97237534
14580,261,137,83,12412,180,75,223,8119,0.973412808,0.973427694,0.979250493,0.964595462,0.97242455,0.989279414,0.962468983,0.962422949,0.971390449
14538,278,141,95,12415,165,66,245,8127,0.972553368,0.971986361,0.979487179,0.963142925,0.971538822,0.989046874,0.959576441,0.963713981,0.970779099
14552,260,140,99,12494,162,75,246,8042,0.972775159,0.973247726,0.979537436,0.961616645,0.971467269,0.988184164,0.961076923,0.963806328,0.971022472
14546,280,119,90,12444,139,93,230,8129,0.973634599,0.973302108,0.981930088,0.961784193,0.972338796,0.987575531,0.960629921,0.969238107,0.972481186
14294,265,133,96,12487,169,77,245,8304,0.972691988,0.972910427,0.979218946,0.962670995,0.971600123,0.98804175,0.960760175,0.964908204,0.97123671
14552,247,125,97,12476,187,88,227,8071,0.973080122,0.975073707,0.977742947,0.962437396,0.97175135,0.987446563,0.963397683,0.96278182,0.971208689
14567,276,129,78,12385,154,78,250,8153,0.973246465,0.972949506,0.981612111,0.961325315,0.971962311,0.989404333,0.959259546,0.966453295,0.971705725
14535,263,129,98,12411,167,79,260,8128,0.972387025,0.973738862,0.979094352,0.959962206,0.970931807,0.987969005,0.95956394,0.964862298,0.970798414
14563,259,100,96,12367,171,83,234,8197,0.97385639,0.975941563,0.978866551,0.962767207,0.972525107,0.987857821,0.961664075,0.967997166,0.972506354
14497,283,123,101,12421,167,82,257,8139,0.971915719,0.972757163,0.978879344,0.960014154,0.970550221,0.98753406,0.958336548,0.96559497,0.970488526
14594,231,152,94,12389,167,75,252,8116,0.973080122,0.974427455,0.979367589,0.961269691,0.971688245,0.988552462,0.962476694,0.962181387,0.971070181
14425,239,139,80,12430,158,92,241,8266,0.973690047,0.974464636,0.981212504,0.961274567,0.972317235,0.988216757,0.96281952,0.965315894,0.97211739
14609,234,127,93,12423,161,106,235,8082,0.97349598,0.975885104,0.979963714,0.959515612,0.971788143,0.986561318,0.96362085,0.965591398,0.971924522
14601,270,118,84,12451,162,77,239,8068,0.973662323,0.974114351,0.980625345,0.96230916,0.972349618,0.989093619,0.960725309,0.966459032,0.972092653
14493,268,132,96,12547,179,95,215,8045,0.972691988,0.973141744,0.978552488,0.962896469,0.971530234,0.986992645,0.962931696,0.962781235,0.970901859
14482,251,125,103,12392,156,93,288,8180,0.971832548,0.974693768,0.97952731,0.955495853,0.969905644,0.986646682,0.958317222,0.966788796,0.970584233
14567,264,129,82,12470,152,96,226,8084,0.973690047,0.973729947,0.981580605,0.961694028,0.97233486,0.987928111,0.962191358,0.966407651,0.972175707
14557,249,127,96,12491,170,87,239,8054,0.973163294,0.974820867,0.979148703,0.961097852,0.97168914,0.987584803,0.962400801,0.964435397,0.971473667
14618,247,129,89,12274,164,89,264,8196,0.972775159,0.974923303,0.979803624,0.958708621,0.971145183,0.987969722,0.960031287,0.965484745,0.971161918
14588,238,128,95,12356,136,76,247,8206,0.974494039,0.975524943,0.981647732,0.962129206,0.973100627,0.988413849,0.962230356,0.968831169,0.973158458
14587,303,130,85,12498,155,86,252,7974,0.971971167,0.971171771,0.981158738,0.9593359,0.97055547,0.988413064,0.957481039,0.96549219,0.970462098
14549,252,146,74,12506,162,77,251,8053,0.973329637,0.973372583,0.981478575,0.960863859,0.971905006,0.989727891,0.961334461,0.963162301,0.971408218
14562,269,145,92,12410,179,85,255,8073,0.971583033,0.972355769,0.978629446,0.959586354,0.970190523,0.987991044,0.959486624,0.961414791,0.96963082
14673,231,119,101,12389,172,86,227,8072,0.974050457,0.97670239,0.978439425,0.962671437,0.972604417,0.987415882,0.964349654,0.965203874,0.972323136
14550,256,134,89,12441,156,85,235,8124,0.973523704,0.973895582,0.980687372,0.962103269,0.972228741,0.988182559,0.962032168,0.965533634,0.971916121
14573,263,145,85,12276,171,93,246,8218,0.972192958,0.972765503,0.979572295,0.960383312,0.970907037,0.987933021,0.96018772,0.962971643,0.970364128
14407,255,143,94,12551,170,78,235,8137,0.972969227,0.97311719,0.979399142,0.96295858,0.971824971,0.988202209,0.962426194,0.96295858,0.971195661
14716,257,132,102,12224,166,71,222,8180,0.973662323,0.974246938,0.97854627,0.965419568,0.972737592,0.988380684,0.962292372,0.964850201,0.971841085
14560,278,135,96,12410,157,88,261,8085,0.971860272,0.972417017,0.980020532,0.958619872,0.970352474,0.987520347,0.958375164,0.965142653,0.970346055
14630,268,128,87,12425,144,79,237,8072,0.97385639,0.973645681,0.981747788,0.962327134,0.972573534,0.988780752,0.960943542,0.967401726,0.97237534
14580,261,137,83,12412,180,75,223,8119,0.973412808,0.973427694,0.979250493,0.964595462,0.97242455,0.989279414,0.962468983,0.962422949,0.971390449
14538,278,141,95,12415,165,66,245,8127,0.972553368,0.971986361,0.979487179,0.963142925,0.971538822,0.989046874,0.959576441,0.963713981,0.970779099
14552,260,140,99,12494,162,75,246,8042,0.972775159,0.973247726,0.979537436,0.961616645,0.971467269,0.988184164,0.961076923,0.963806328,0.971022472
14546,280,119,90,12444,139,93,230,8129,0.973634599,0.973302108,0.981930088,0.961784193,0.972338796,0.987575531,0.960629921,0.969238107,0.972481186
14294,265,133,96,12487,169,77,245,8304,0.972691988,0.972910427,0.979218946,0.962670995,0.971600123,0.98804175,0.960760175,0.964908204,0.97123671
14552,247,125,97,12476,187,88,227,8071,0.973080122,0.975073707,0.977742947,0.962437396,0.97175135,0.987446563,0.963397683,0.96278182,0.971208689
14567,276,129,78,12385,154,78,250,8153,0.973246465,0.972949506,0.981612111,0.961325315,0.971962311,0.989404333,0.959259546,0.966453295,0.971705725
14535,263,129,98,12411,167,79,260,8128,0.972387025,0.973738862,0.979094352,0.959962206,0.970931807,0.987969005,0.95956394,0.964862298,0.970798414
14563,259,100,96,12367,171,83,234,8197,0.97385639,0.975941563,0.978866551,0.962767207,0.972525107,0.987857821,0.961664075,0.967997166,0.972506354
14497,283,123,101,12421,167,82,257,8139,0.971915719,0.972757163,0.978879344,0.960014154,0.970550221,0.98753406,0.958336548,0.96559497,0.970488526
14594,231,152,94,12389,167,75,252,8116,0.973080122,0.974427455,0.979367589,0.961269691,0.971688245,0.988552462,0.962476694,0.962181387,0.971070181
14425,239,139,80,12430,158,92,241,8266,0.973690047,0.974464636,0.981212504,0.961274567,0.972317235,0.988216757,0.96281952,0.965315894,0.97211739
14609,234,127,93,12423,161,106,235,8082,0.97349598,0.975885104,0.979963714,0.959515612,0.971788143,0.986561318,0.96362085,0.965591398,0.971924522
14601,270,118,84,12451,162,77,239,8068,0.973662323,0.974114351,0.980625345,0.96230916,0.972349618,0.989093619,0.960725309,0.966459032,0.972092653
14493,268,132,96,12547,179,95,215,8045,0.972691988,0.973141744,0.978552488,0.962896469,0.971530234,0.986992645,0.962931696,0.962781235,0.970901859
14482,251,125,103,12392,156,93,288,8180,0.971832548,0.974693768,0.97952731,0.955495853,0.969905644,0.986646682,0.958317222,0.966788796,0.970584233
14567,264,129,82,12470,152,96,226,8084,0.973690047,0.973729947,0.981580605,0.961694028,0.97233486,0.987928111,0.962191358,0.966407651,0.972175707
14557,249,127,96,12491,170,87,239,8054,0.973163294,0.974820867,0.979148703,0.961097852,0.97168914,0.987584803,0.962400801,0.964435397,0.971473667
14618,247,129,89,12274,164,89,264,8196,0.972775159,0.974923303,0.979803624,0.958708621,0.971145183,0.987969722,0.960031287,0.965484745,0.971161918
14588,238,128,95,12356,136,76,247,8206,0.974494039,0.975524943,0.981647732,0.962129206,0.973100627,0.988413849,0.962230356,0.968831169,0.973158458
14587,303,130,85,12498,155,86,252,7974,0.971971167,0.971171771,0.981158738,0.9593359,0.97055547,0.988413064,0.957481039,0.96549219,0.970462098
14549,252,146,74,12506,162,77,251,8053,0.973329637,0.973372583,0.981478575,0.960863859,0.971905006,0.989727891,0.961334461,0.963162301,0.971408218
14562,269,145,92,12410,179,85,255,8073,0.971583033,0.972355769,0.978629446,0.959586354,0.970190523,0.987991044,0.959486624,0.961414791,0.96963082
14673,231,119,101,12389,172,86,227,8072,0.974050457,0.97670239,0.978439425,0.962671437,0.972604417,0.987415882,0.964349654,0.965203874,0.972323136
14550,256,134,89,12441,156,85,235,8124,0.973523704,0.973895582,0.980687372,0.962103269,0.972228741,0.988182559,0.962032168,0.965533634,0.971916121
14573,263,145,85,12276,171,93,246,8218,0.972192958,0.972765503,0.979572295,0.960383312,0.970907037,0.987933021,0.96018772,0.962971643,0.970364128
14407,255,143,94,12551,170,78,235,8137,0.972969227,0.97311719,0.979399142,0.96295858,0.971824971,0.988202209,0.962426194,0.96295858,0.971195661
14716,257,132,102,12224,166,71,222,8180,0.973662323,0.974246938,0.97854627,0.965419568,0.972737592,0.988380684,0.962292372,0.964850201,0.971841085
14560,278,135,96,12410,157,88,261,8085,0.971860272,0.972417017,0.980020532,0.958619872,0.970352474,0.987520347,0.958375164,0.965142653,0.970346055
14630,268,128,87,12425,144,79,237,8072,0.97385639,0.973645681,0.981747788,0.962327134,0.972573534,0.988780752,0.960943542,0.967401726,0.97237534
14580,261,137,83,12412,180,75,223,8119,0.973412808,0.973427694,0.979250493,0.964595462,0.97242455,0.989279414,0.962468983,0.962422949,0.971390449
14538,278,141,95,12415,165,66,245,8127,0.972553368,0.971986361,0.979487179,0.963142925,0.971538822,0.989046874,0.959576441,0.963713981,0.970779099
14552,260,140,99,12494,162,75,246,8042,0.972775159,0.973247726,0.979537436,0.961616645,0.971467269,0.988184164,0.961076923,0.963806328,0.971022472
14546,280,119,90,12444,139,93,230,8129,0.973634599,0.973302108,0.981930088,0.961784193,0.972338796,0.987575531,0.960629921,0.969238107,0.972481186
14294,265,133,96,12487,169,77,245,8304,0.972691988,0.972910427,0.979218946,0.962670995,0.971600123,0.98804175,0.960760175,0.964908204,0.97123671
14552,247,125,97,12476,187,88,227,8071,0.973080122,0.975073707,0.977742947,0.962437396,0.97175135,0.987446563,0.963397683,0.96278182,0.971208689
14567,276,129,78,12385,154,78,250,8153,0.973246465,0.972949506,0.981612111,0.961325315,0.971962311,0.989404333,0.959259546,0.966453295,0.971705725
14535,263,129,98,12411,167,79,260,8128,0.972387025,0.973738862,0.979094352,0.959962206,0.970931807,0.987969005,0.95956394,0.964862298,0.970798414
14563,259,100,96,12367,171,83,234,8197,0.97385639,0.975941563,0.978866551,0.962767207,0.972525107,0.987857821,0.961664075,0.967997166,0.972506354
14497,283,123,101,12421,167,82,257,8139,0.971915719,0.972757163,0.978879344,0.960014154,0.970550221,0.98753406,0.958336548,0.96559497,0.970488526
14594,231,152,94,12389,167,75,252,8116,0.973080122,0.974427455,0.979367589,0.961269691,0.971688245,0.988552462,0.962476694,0.962181387,0.971070181
14425,239,139,80,12430,158,92,241,8266,0.973690047,0.974464636,0.981212504,0.961274567,0.972317235,0.988216757,0.96281952,0.965315894,0.97211739
14609,234,127,93,12423,161,106,235,8082,0.97349598,0.975885104,0.979963714,0.959515612,0.971788143,0.986561318,0.96362085,0.965591398,0.971924522
14601,270,118,84,12451,162,77,239,8068,0.973662323,0.974114351,0.980625345,0.96230916,0.972349618,0.989093619,0.960725309,0.966459032,0.972092653
14493,268,132,96,12547,179,95,215,8045,0.972691988,0.973141744,0.978552488,0.962896469,0.971530234,0.986992645,0.962931696,0.962781235,0.970901859
14482,251,125,103,12392,156,93,288,8180,0.971832548,0.974693768,0.97952731,0.955495853,0.969905644,0.986646682,0.958317222,0.966788796,0.970584233
14567,264,129,82,12470,152,96,226,8084,0.973690047,0.973729947,0.981580605,0.961694028,0.97233486,0.987928111,0.962191358,0.966407651,0.972175707
14557,249,127,96,12491,170,87,239,8054,0.973163294,0.974820867,0.979148703,0.961097852,0.97168914,0.987584803,0.962400801,0.964435397,0.971473667
14618,247,129,89,12274,164,89,264,8196,0.972775159,0.974923303,0.979803624,0.958708621,0.971145183,0.987969722,0.960031287,0.965484745,0.971161918
14588,238,128,95,12356,136,76,247,8206,0.974494039,0.975524943,0.981647732,0.962129206,0.973100627,0.988413849,0.962230356,0.968831169,0.973158458
14587,303,130,85,12498,155,86,252,7974,0.971971167,0.971171771,0.981158738,0.9593359,0.97055547,0.988413064,0.957481039,0.96549219,0.970462098
14549,252,146,74,12506,162,77,251,8053,0.973329637,0.973372583,0.981478575,0.960863859,0.971905006,0.989727891,0.961334461,0.963162301,0.971408218
14562,269,145,92,12410,179,85,255,8073,0.971583033,0.972355769,0.978629446,0.959586354,0.970190523,0.987991044,0.959486624,0.961414791,0.96963082
14673,231,119,101,12389,172,86,227,8072,0.974050457,0.97670239,0.978439425,0.962671437,0.972604417,0.987415882,0.964349654,0.965203874,0.972323136
14550,256,134,89,12441,156,85,235,8124,0.973523704,0.973895582,0.980687372,0.962103269,0.972228741,0.988182559,0.962032168,0.965533634,0.971916121
14573,263,145,85,12276,171,93,246,8218,0.972192958,0.972765503,0.979572295,0.960383312,0.970907037,0.987933021,0.96018772,0.962971643,0.970364128
14407,255,143,94,12551,170,78,235,8137,0.972969227,0.97311719,0.979399142,0.96295858,0.971824971,0.988202209,0.962426194,0.96295858,0.971195661
14716,257,132,102,12224,166,71,222,8180,0.973662323,0.974246938,0.97854627,0.965419568,0.972737592,0.988380684,0.962292372,0.964850201,0.971841085
14560,278,135,96,12410,157,88,261,8085,0.971860272,0.972417017,0.980020532,0.958619872,0.970352474,0.987520347,0.958375164,0.965142653,0.970346055
14630,268,128,87,12425,144,79,237,8072,0.97385639,0.973645681,0.981747788,0.962327134,0.972573534,0.988780752,0.960943542,0.967401726,0.97237534
14580,261,137,83,12412,180,75,223,8119,0.973412808,0.973427694,0.979250493,0.964595462,0.97242455,0.989279414,0.962468983,0.962422949,0.971390449
14538,278,141,95,12415,165,66,245,8127,0.972553368,0.971986361,0.979487179,0.963142925,0.971538822,0.989046874,0.959576441,0.963713981,0.970779099
14552,260,140,99,12494,162,75,246,8042,0.972775159,0.973247726,0.979537436,0.961616645,0.971467269,0.988184164,0.961076923,0.963806328,0.971022472
14546,280,119,90,12444,139,93,230,8129,0.973634599,0.973302108,0.981930088,0.961784193,0.972338796,0.987575531,0.960629921,0.969238107,0.972481186
14294,265,133,96,12487,169,77,245,8304,0.972691988,0.972910427,0.979218946,0.962670995,0.971600123,0.98804175,0.960760175,0.964908204,0.97123671
14552,247,125,97,12476,187,88,227,8071,0.973080122,0.975073707,0.977742947,0.962437396,0.97175135,0.987446563,0.963397683,0.96278182,0.971208689
14567,276,129,78,12385,154,78,250,8153,0.973246465,0.972949506,0.981612111,0.961325315,0.971962311,0.989404333,0.959259546,0.966453295,0.971705725
14535,263,129,98,12411,167,79,260,8128,0.972387025,0.973738862,0.979094352,0.959962206,0.970931807,0.987969005,0.95956394,0.964862298,0.970798414
14563,259,100,96,12367,171,83,234,8197,0.97385639,0.975941563,0.978866551,0.962767207,0.972525107,0.987857821,0.961664075,0.967997166,0.972506354
14497,283,123,101,12421,167,82,257,8139,0.971915719,0.972757163,0.978879344,0.960014154,0.970550221,0.98753406,0.958336548,0.96559497,0.970488526
